Time, Soil 1, Soil 2, Soil 3, humidity, pressure, temperature 
2021-12-05 11:43:45.559980, 1023, 1023, 1023, 63.45251383507472, 1016.0248751837921, 16.34536831623409 
2021-12-05 11:44:56.665539, 1023, 1023, 1023, 63.53742519759154, 1016.044925570776, 16.391086748527595 
2021-12-05 11:46:07.761803, 1023, 1022, 1023, 63.847356805991446, 1015.9711509724739, 16.34536831623409 
2021-12-05 11:47:18.858007, 1023, 1023, 1023, 63.68047590892579, 1015.9861564487209, 16.304729729541577 
2021-12-05 11:48:29.954109, 1023, 1023, 1023, 63.85593923937302, 1015.932435784791, 16.304729729541577 
2021-12-05 15:49:52.664648, 306, 191, 218, 64.1560941608043, 1013.25238794453, 7.740563199017197 
2021-12-05 15:50:41.149946, 306, 191, 226, 64.40459613783949, 1013.3047822625496, 7.593262708425755 
2021-12-05 16:50:52.296060, 297, 176, 193, 76.14654194705622, 1012.7687451531333, 5.114587718580151 
2021-12-05 17:51:03.431969, 285, 182, 186, 78.57116532762551, 1012.7262944344906, 4.34255556637072 
2021-12-05 18:51:14.567306, 286, 178, 184, 81.07878780753816, 1012.2277121391985, 3.8092478091130033 
2021-12-05 19:51:25.717324, 290, 194, 178, 78.79418013624459, 1012.5155323232143, 4.34255556637072 
2021-12-05 20:51:36.852717, 286, 184, 177, 81.67852806109006, 1011.7141931754281, 3.768614968680777 
2021-12-05 21:51:47.988814, 287, 182, 175, 79.98353838049887, 1011.7708866626026, 4.24097288903431 
2021-12-05 22:51:59.124835, 274, 186, 164, 81.4487388439356, 1010.1738737241798, 4.149548578966642 
2021-12-05 23:52:10.260816, 284, 203, 176, 80.70064022853944, 1009.7162027029565, 4.80983738154755 
2021-12-06 00:52:21.376744, 290, 192, 167, 81.95209334771839, 1008.6055603884606, 4.840312368102604 
2021-12-06 01:52:32.511939, 285, 214, 180, 82.3763172625821, 1008.5720737795895, 4.982529110560426 
2021-12-06 02:52:43.648087, 288, 194, 184, 83.62544855501592, 1008.6645011285266, 4.225735497474671 
2021-12-06 03:52:54.781135, 293, 197, 188, 85.74142075247691, 1008.206133476289, 4.560958716855384 
2021-12-06 04:53:05.917421, 291, 225, 201, 90.17515497648058, 1007.0813822048955, 5.104429357132176 
2021-12-06 05:53:17.054126, 294, 200, 194, 94.56083294397826, 1005.486903560572, 4.982529110560426 
2021-12-06 06:53:28.094523, 297, 211, 194, 92.90544391323117, 1004.6426350797323, 5.719012320064939 
2021-12-06 07:53:39.230291, 304, 207, 192, 92.31423581747877, 1004.3594795918023, 6.232014585012803 
2021-12-06 08:53:50.366387, 291, 211, 207, 92.58688968991191, 1004.3118226735269, 6.612958781816997 
2021-12-06 09:54:01.502512, 300, 223, 207, 89.68935242331848, 1003.7984413873829, 7.1818384967977185 
2021-12-06 10:54:12.594802, 311, 222, 210, 92.24973545589401, 1003.2292347016796, 7.420565893227467 
2021-12-06 11:54:23.729996, 311, 211, 219, 96.19392324536258, 1001.988613701177, 6.993904615711654 
2021-12-06 12:54:34.865541, 320, 229, 220, 97.4906894520779, 1000.936535916361, 7.410407267516712 
2021-12-06 13:54:46.001780, 338, 242, 232, 96.09832579797519, 1001.571432381148, 7.8065945328737145 
2021-12-06 14:54:57.057805, 332, 251, 239, 97.44858661754476, 1000.3501719228531, 8.019926870713244 
2021-12-06 17:52:52.178217, 352, 273, 284, 96.00247550637215, 999.4060850178814, 8.390720012877136 
2021-12-06 18:53:03.323248, 345, 265, 290, 96.42606475184633, 999.6279519143665, 8.44659308656701 
2021-12-06 19:53:14.456877, 360, 279, 260, 97.07821184986089, 999.3271238649318, 8.57357747592032 
2021-12-06 20:53:25.567820, 350, 277, 264, 97.02690603826369, 999.3936615571457, 8.665006348886527 
2021-12-06 21:53:36.703010, 353, 289, 270, 96.73180711520331, 999.461767026676, 8.807229227595963 
2021-12-06 22:53:47.838591, 381, 292, 265, 96.69541967979833, 999.5878712116453, 8.852943772781874 
2021-12-06 23:53:58.897798, 373, 288, 280, 96.58289606887195, 999.8038766109424, 8.888499546446837 
2021-12-07 00:54:09.937796, 382, 281, 269, 96.73514961064805, 999.7036887031124, 8.908817137801089 
2021-12-07 01:54:21.057813, 366, 297, 277, 96.54348425785855, 999.7804971291096, 8.99008754978422 
2021-12-07 02:54:32.193968, 373, 300, 280, 96.83909330167437, 1000.2549123926401, 8.888499546446837 
2021-12-07 03:54:43.329766, 384, 312, 309, 97.24438092665456, 1000.1899372292035, 8.847864377708174 
2021-12-07 04:54:54.417792, 376, 304, 308, 97.08117049360878, 999.9333153023545, 8.786911659524776 
2021-12-07 05:55:05.553852, 384, 313, 296, 96.72943132766642, 1000.0091035919727, 8.751355926605175 
2021-12-07 06:55:16.689835, 382, 309, 289, 97.62489836604716, 1000.6644389774799, 8.365323172841453 
2021-12-07 07:55:27.737793, 396, 319, 333, 97.1712432398631, 1001.1295969493535, 8.705641433806159 
2021-12-07 08:55:38.817810, 336, 318, 292, 91.65654994799273, 1001.8484417171699, 10.366616470791632 
2021-12-07 09:55:49.953209, 396, 324, 307, 79.07438751396654, 1002.2124374267472, 13.800412766827503 
2021-12-07 10:56:01.089212, 364, 306, 273, 62.600209544026214, 1001.8331269732834, 17.793130118731643 
2021-12-07 11:56:12.224944, 362, 292, 266, 67.08974156943268, 1001.2505794802454, 16.30980955185951 
2021-12-07 12:56:23.360803, 359, 285, 263, 64.33720578251952, 1000.6071181282781, 17.020987548917766 
2021-12-07 13:56:34.495493, 355, 283, 233, 53.5460386922671, 999.6972332984984, 19.591435590718174 
2021-12-07 14:56:45.631113, 353, 276, 256, 71.02892421856295, 999.4725167125405, 15.258292537275702 
2021-12-07 15:56:56.766858, 364, 294, 274, 75.95597974712263, 999.7221029508979, 12.606696310848928 
2021-12-07 16:57:07.902898, 363, 312, 273, 85.12173235919542, 998.8095198040802, 10.996474469924578 
2021-12-07 17:57:19.038088, 352, 311, 276, 91.69570561087838, 998.8080049696541, 8.680244503548602 
2021-12-07 18:57:30.174227, 364, 306, 269, 89.50117778291741, 999.0787875909996, 9.31516994277481 
2021-12-07 19:57:41.277800, 367, 307, 278, 89.13036597887856, 999.1255542831367, 9.660571291507221 
2021-12-07 20:57:52.413925, 388, 302, 276, 93.5976475905918, 999.266482519348, 9.66565073314705 
2021-12-07 21:58:03.457789, 365, 312, 277, 93.26268604055552, 999.4149371269004, 9.558982519828714 
2021-12-07 22:58:14.547830, 380, 320, 298, 92.78779241165752, 999.8037365723342, 9.320249364624033 
2021-12-07 23:58:25.684030, 400, 324, 296, 91.567156773883, 1000.0154877196044, 9.569141391757876 
2021-12-08 00:58:36.820065, 386, 332, 296, 94.60940688730953, 999.9148199476176, 8.543101205886341 
2021-12-08 01:58:47.937805, 408, 336, 302, 90.89542523266726, 999.8123378209796, 9.076437444152543 
2021-12-08 02:58:59.040340, 402, 338, 306, 88.57973286364606, 1000.0343355682818, 9.132310950034299 
2021-12-08 03:59:10.176332, 402, 334, 307, 98.42366778528401, 1000.0866584601108, 8.136751939938403 
2021-12-08 04:59:21.312133, 400, 332, 325, 93.71395547363518, 1000.2667758472973, 7.98437144542113 
2021-12-08 05:59:32.367815, 392, 330, 305, 91.70186118980882, 1000.6576352579683, 7.3850107083329934 
2021-12-08 06:59:43.427804, 401, 341, 309, 92.43935411854662, 1000.9143122052794, 7.115807628311449 
2021-12-08 07:59:54.563788, 412, 344, 313, 91.46060519806966, 1001.1662367954673, 6.745019818842411 
2021-12-08 09:00:05.699883, 410, 363, 318, 84.80596210901973, 1001.1193227313115, 8.334846974402899 
2021-12-08 10:00:16.835618, 414, 347, 317, 78.27815653823374, 1001.6285921435541, 9.680889059812761 
2021-12-08 11:00:27.937788, 413, 356, 322, 79.65025257432501, 1001.8105101712539, 10.625670428667217 
2021-12-08 12:00:39.073530, 405, 345, 316, 78.36430306007367, 1001.8119010189198, 9.513267610553886 
2021-12-08 13:00:50.209393, 436, 350, 316, 88.92239311614111, 1001.8014575087888, 7.933578005456366 
2021-12-08 14:01:01.297786, 384, 340, 306, 77.50218771407012, 1001.4500150383022, 8.69040327477851 
2021-12-08 15:01:12.433484, 416, 349, 314, 76.06062734492319, 1001.3190477952473, 8.360243805707432 
2021-12-08 16:01:23.569454, 396, 349, 325, 78.5290339712446, 1001.7163516257527, 7.3850107083329934 
